3,6, 1,1, 5,10, 2,3,9,16, -14,-6, 19,41, 0,2, 5,13, -37,-18, 27,69, -18,-7
3,5, 2,5, 3,5, 2,4, 3,5, 3,5, 4,5, 2,5, 4,5, 4,5, 4,5, 1,4
-24,-5,-11,17, -6,21,-12,16,-68,-47,-26,38,-10,70,-24,39,-81,-76,-27,38,2,94,-25,37
-3,5,2,13,29,42,4,13,-23,-4,12,42,49,93,12,42,-33,-17,20,54,51,97,21,54
-5,5,-5,6,-5,7,-4,6,1,32,-12,13,-12,14,-12,14,18,55,-12,13,-24,-3,-15,14
5,16,-8,1,5,17,4,17,25,74,-28,-6,27,73,26,73,66,125,-30,-23,72,125,73,125
-10,-2,-10,-2,2,14,-10,-3,2,65,3,65,16,87,3,64,11,77,-9,45,16,86,2,65
-3,0,-6,-4,7,10,5,11,-18,0.7,-25,-11,22,50,21,50,-22,-6,-34,-24,62,105,63,106
4,13,-11,-3,4,13,4,13,11,41,-27,-11,12,42,12,42,28,66,-37,-24,28,66,30,66
9,44,17,31,21,52,19,42,63,222,30,66,83,400,56,182,111,427,45,61,185,1312,106,309
90,117,108,148,81,96,143,193,92,194,143,328,59,110,181,452,109,253,197,467,59,108,175,423
1,3,-1,1,.4,1.8,1.5,2.5,-3.5,.1,-4,-.4,.6,6.5,1.1,8.2,-8,-7,-6,-3,6.5,15,1.3,8.2
.7,1.3,1.8,2.8,1,2,1,1,2,8,3,12,3,10,2,8.5,5,18,7,24,6,21,5,18
3,3,3,3,2.1,2.2,3,3,4,4.8,3,3,.1,.1,3.9,4.5,5,6.3,2.2,2.2,0,0,4.7,6.3
1.0,1.2,.98,1,.99,1,.98,1,1.2,1.9,.93,.97,.93,1,.93,1,1.3,2,.93,.97,1,1.2,1,1.2
11,500,14,500,12,500,14,500,15,500,15,500,13,500,13,500,13,500,13,500,15,500,11,500
11,500,14,500,11,500,15,500,15,500,13,500,13,500,15,500,13,500,15,500,13,500,9,500
#rr=read.csv("sce_range.txt",sep=",",header=FALSE)[1:17,]
